YACIMIENTO_SEN,YAC_SEN,FORMACION,NOMBRE_CORTO,NOM_DE_ESTADO_TOW,NOMBRE_DE_ESTADO_TOW,Petroleo_Diario_m3,Petroleo_Mensual_m3,Petroleo_Acumulado_m3,Gas_Diario_m3,Gas_Mensual_m3,Gas_Acumulado_m3,Agua_diaria_m3,Agua_Mensual__m3,Agua_Acumulada__m3,TEF_de_Produccion_dias,TEF_de_Produccion_Acum,GOR
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1929,Abandono_Permanente,AP,NA,NA,13027,NA,NA,64151,NA,NA,303905,NA,34.6,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_193,Abandono_Permanente,AP,NA,NA,13744,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1930,Abandono_Permanente,AP,NA,NA,23231,NA,NA,1875006,NA,NA,89991,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1932,Abandono_Permanente,AP,NA,NA,20302,NA,NA,640068,NA,NA,233524,NA,18.8,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1933,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1934,Abandono_Permanente,AP,NA,NA,5334,NA,NA,349828,NA,NA,10009,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1937,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1939,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_194,Abandono_Permanente,AP,NA,NA,23979,NA,NA,5212,NA,NA,1546,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1940,Reserva_Recuperacion_Secundaria,RRS,NA,NA,19651,NA,NA,1013288,NA,NA,363866,NA,107.1,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1943,Abandono_Permanente,AP,NA,NA,5863,NA,NA,1376703,NA,NA,5065,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1944,Abandono_Permanente,AP,NA,NA,29906,NA,NA,382590,NA,NA,372899,NA,2,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1947,Abandono_Permanente,AP,NA,NA,46547,NA,NA,115113,NA,NA,53714,NA,115.4,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1948,Reserva_Recuperacion_Secundaria,RRS,NA,NA,3474.149,NA,NA,NA,NA,NA,50200.404,NA,89.5,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1949,Abandono_Permanente,AP,NA,NA,52953.268,NA,NA,12970,NA,NA,131706.128,NA,172.36,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_195,Abandono_Permanente,AP,NA,NA,26706,NA,NA,23059,NA,NA,82573,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1951,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1952,Abandono_Permanente,AP,NA,NA,10113,NA,NA,302002,NA,NA,3495,NA,128.9,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1953,Abandono_Permanente,AP,NA,NA,37483,NA,NA,1992415,NA,NA,137989,NA,106.6,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1957SEL,Reserva_Recuperacion_Secundaria,RRS,NA,NA,14798,NA,NA,59210,NA,NA,29246,NA,64.4,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1959,Reserva_Recuperacion_Secundaria,RRS,NA,NA,3526,NA,NA,11420,NA,NA,16647,NA,7,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_196,Abandono_Permanente,AP,NA,NA,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1960,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1961,Abandono_Permanente,AP,NA,NA,9092,NA,NA,70815,NA,NA,26116,NA,22.8,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1962,Abandono_Permanente,AP,NA,NA,1694,NA,NA,17113,NA,NA,365,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1965,Abandono_Permanente,AP,NA,NA,784,NA,NA,27499,NA,NA,41117,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1966,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1967,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1968,Abandono_Permanente,AP,NA,NA,44505.564,NA,NA,15945,NA,NA,45184.118,NA,207.75,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_197,Abandono_Permanente,AP,NA,NA,14679,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1970,Abandono_Permanente,AP,NA,NA,12393,NA,NA,60165,NA,NA,6482,NA,4.1,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1972,Abandono_Permanente,AP,NA,NA,3050,NA,NA,18643,NA,NA,7849,NA,40.5,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1974,Abandono_Permanente,AP,NA,NA,4726,NA,NA,66661,NA,NA,7174,NA,NA,NA
CAMPAMENTO_CENTRAL_BELLA_VISTA_ESTE,2,GRUPO_CHUBUT,_1975,Abandono_Permanente,AP,NA,NA,20519.913,NA,NA,3094292,NA,NA,19671.151,NA,69.55,NA
